,Speed (m/s),Temperature (°C),Relative Humidity (%)
0,331.5,0.0,10.0
1,334.5,5.0,10.0
2,337.5,10.0,10.0
3,340.5,15.0,10.0
4,343.5,20.0,10.0
5,346.4,25.0,10.0
6,349.4,30.0,10.0
7,331.5,0.0,20.0
8,334.6,5.0,20.0
9,337.6,10.0,20.0
10,340.6,15.0,20.0
11,343.6,20.0,20.0
12,346.6,25.0,20.0
13,349.6,30.0,20.0
14,331.5,0.0,30.0
15,334.6,5.0,30.0
16,337.7,10.0,30.0
17,340.7,15.0,30.0
18,343.7,20.0,30.0
19,346.8,25.0,30.0
20,349.9,30.0,30.0
21,331.6,0.0,40.0
22,334.7,5.0,40.0
23,337.7,10.0,40.0
24,340.8,15.0,40.0
25,343.9,20.0,40.0
26,347.0,25.0,40.0
27,350.1,30.0,40.0
28,331.6,0.0,50.0
29,334.7,5.0,50.0
30,337.8,10.0,50.0
31,340.9,15.0,50.0
32,344.0,20.0,50.0
33,347.1,25.0,50.0
34,350.3,30.0,50.0
35,331.6,0.0,60.0
36,334.7,5.0,60.0
37,337.9,10.0,60.0
38,341.0,15.0,60.0
39,344.1,20.0,60.0
40,347.3,25.0,60.0
41,350.5,30.0,60.0
42,331.7,0.0,70.0
43,334.8,5.0,70.0
44,337.9,10.0,70.0
45,341.1,15.0,70.0
46,344.2,20.0,70.0
47,347.5,25.0,70.0
48,350.8,30.0,70.0
49,331.7,0.0,80.0
50,334.8,5.0,80.0
51,338.0,10.0,80.0
52,341.2,15.0,80.0
53,344.4,20.0,80.0
54,347.6,25.0,80.0
55,351.0,30.0,80.0
56,331.7,0.0,90.0
57,334.9,5.0,90.0
58,338.0,10.0,90.0
59,341.2,15.0,90.0
60,344.5,20.0,90.0
61,347.8,25.0,90.0
62,351.2,30.0,90.0
