,Temperature,Humidity,Sound_speed_20,0.05,1.16875,2.2874999999999996,3.4062499999999996,4.5249999999999995,5.64375,6.762499999999999,7.881249999999999,9.0
0,0.0,0.0,331.4638770126725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,0.0,332.68044389006064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.0,0.0,333.89255631876847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.0,0.0,335.1002663341678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.0,0.0,336.3036250196492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10.0,0.0,337.50268252777585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12.0,0.0,338.69748810593245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14.0,0.0,339.8880901217679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,16.0,0.0,341.07453608364546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18.0,0.0,342.2568726651579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20.0,0.0,343.43514572389137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,22.0,0.0,344.6094003246552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,24.0,0.0,345.7796807560577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,26.0,0.0,346.9460305525034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,28.0,0.0,348.10849251167986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30.0,0.0,349.2671087119747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,32.0,0.0,350.42192052968926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,34.0,0.0,351.57296865524285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,36.0,0.0,352.7202931104478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,38.0,0.0,353.8639332625326,179.77119167232405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,40.0,0.0,355.00392784050155,119.23665022502665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,5.0,331.45112514882726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.0,5.0,332.6683289890713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4.0,5.0,333.88142812992095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6.0,5.0,335.0905135528113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8.0,5.0,336.29568157614256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,10.0,5.0,337.49703435865894,3085.915666277815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,12.0,5.0,338.6946798928615,1935.3462599312297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,14.0,5.0,339.88873154592886,1773.925080778414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16.0,5.0,341.07930736325136,1784.994760830306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,18.0,5.0,342.26652917142445,1887.7826522466853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,20.0,5.0,343.45052197952964,2034.0988343924016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,22.0,5.0,344.63141326132774,2219.194944661559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,24.0,5.0,345.80933290207014,2451.4452667155165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,26.0,5.0,346.9844135336697,2724.9003187693143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,28.0,5.0,348.1567913240279,3028.85887278134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,30.0,5.0,349.3266073784331,3366.723548760722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,32.0,5.0,350.4940095816558,3742.2765238881725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,34.0,5.0,351.6591551468668,4159.721871550631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,36.0,5.0,352.8222140470529,4623.7326232319165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,38.0,5.0,353.98337265853206,5107.630350838165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,40.0,5.0,355.1428395934145,5642.170498727534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,10.0,331.45279386126793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2.0,10.0,332.6718275328426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4.0,10.0,333.887131930802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,6.0,10.0,335.09886464944987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8.0,10.0,336.3071911312732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,10.0,10.0,337.51228372905325,5712.806959793218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,12.0,10.0,338.71432092390603,4829.52494857051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,14.0,10.0,339.9134867169643,4740.229829235956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,16.0,10.0,341.10997043374545,4920.502184305374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,18.0,10.0,342.3039666937474,5268.995375136723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,20.0,10.0,343.49567619042597,5712.806959793218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,22.0,10.0,344.6853061204905,6271.546176975132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,24.0,10.0,345.87307160619685,6927.896184838393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,26.0,10.0,347.0591974741992,7652.936643296396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,28.0,10.0,348.24392056724486,8401.429609943563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,30.0,10.0,349.42749300327506,9280.683024483322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,32.0,10.0,350.6101861941457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,34.0,10.0,351.79229629022853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,36.0,10.0,352.9741515173242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,38.0,10.0,354.1561201587664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,40.0,10.0,355.33862322717175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,15.0,331.45521251959883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2.0,15.0,332.676088528011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,4.0,15.0,333.8936467310467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6.0,15.0,335.1081003073144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,8.0,15.0,336.3196723459085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,10.0,15.0,337.5285955304553,9693.746126519667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,12.0,15.0,338.73511212723156,8613.10774009328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,14.0,15.0,339.9394741067615,8613.10774009328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,16.0,15.0,341.1419436370048,8996.458512004205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,18.0,15.0,342.34279356339397,9573.887022988658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,20.0,15.0,343.5423089195897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,22.0,15.0,344.740787788564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,24.0,15.0,345.9385436635894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,26.0,15.0,347.1359083987858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,28.0,15.0,348.3332360874298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,30.0,15.0,349.53090853935595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,32.0,15.0,350.72934210476063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,34.0,15.0,351.92899688704074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,36.0,15.0,353.1303891048977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,38.0,15.0,354.33410475710804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,40.0,15.0,355.5408208126361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,20.0,331.4579165258695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2.0,20.0,332.68066762957915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4.0,20.0,333.9005126505033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,6.0,20.0,335.1177183431779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,8.0,20.0,336.3325654295853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,10.0,20.0,337.5453488403744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,12.0,20.0,338.75637817957255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,14.0,20.0,339.96597820538216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,16.0,20.0,341.17448971234774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,18.0,20.0,342.3822703772842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,20.0,20.0,343.58969701267154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,22.0,20.0,344.7971670535565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,24.0,20.0,346.0051021600012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,26.0,20.0,347.21395277670433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,28.0,20.0,348.42420410949296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,30.0,20.0,349.63638446847114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,32.0,20.0,350.8510756730652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,34.0,20.0,352.06892698118315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,36.0,20.0,353.2906736481822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,38.0,20.0,354.51715769690134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,40.0,20.0,355.74935942935275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,25.0,331.46078346201347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2.0,25.0,332.68542508476247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,4.0,25.0,333.9075718717717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,6.0,25.0,335.1275454997301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,8.0,25.0,336.34568658583214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,10.0,25.0,337.56235528865807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,12.0,25.0,338.77793210807033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,14.0,25.0,339.99281868520615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,16.0,25.0,341.2074391432968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,18.0,25.0,342.4222414524626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,20.0,25.0,343.6377006720845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,22.0,25.0,344.85432135917586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,24.0,25.0,346.07264279168567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,26.0,25.0,347.2932455815169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,28.0,25.0,348.51676029959685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,30.0,25.0,349.74387934561025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,32.0,25.0,350.97537177094466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,34.0,25.0,352.2121029434942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,36.0,25.0,353.4550605934074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
